,Party,Polarization,Unanimity,Yes polarization,Republican yes votes,Republican no votes,Democratic yes votes,Democratic no votes,Republican yes,Democratic yes,Party polarization,Title,title_w_breaks,Date,Session,Key,Democratic votes yes/no,Republican votes yes/no
2704,Democratic,-0.8905628792634442,0.9753086419753086,-0.8905628792634442,5,54,79,2,0.0847457627118644,0.9753086419753086,-0.8905628792634442,An Act To Provide For School Choice And Online Learning Opportunities In Response To The Covid-19 Pandemic,An Act To Provide For School<br>Choice And Online Learning<br>Opportunities In Response To<br>The Covid-19 Pandemic,2021-04-28,130,9e34cf6b-ff9e-4b00-82a5-baa74605824b,79/2,5/54
2098,Democratic,-0.8908591408591409,0.987012987012987,-0.8908591408591409,5,47,76,1,0.09615384615384616,0.987012987012987,-0.8908591408591409,An Act To Improve Access To Hiv Prevention Medications,An Act To Improve Access To<br>Hiv Prevention Medications,2021-06-10,130,1450d7e0-322d-4b15-b1c2-6243afea5364,76/1,5/47
2386,Democratic,-0.8918918918918919,0.8918918918918919,-0.8918918918918919,0,62,66,8,0.0,0.8918918918918919,-0.8918918918918919,An Act To Divert Older Youth From The Adult Criminal Justice System,An Act To Divert Older Youth<br>From The Adult Criminal<br>Justice System,2021-06-30,130,7ea4bb09-af90-43af-9631-6fa86827a1b1,66/8,0/62
2598,Democratic,-0.8933333333333333,0.8933333333333333,-0.8933333333333333,0,62,67,8,0.0,0.8933333333333333,-0.8933333333333333,An Act To Amend The Maine Bail Code Regarding Certain Conditions Of Release And The Maine Criminal Code Regarding Warrantless Arrests,An Act To Amend The Maine Bail<br>Code Regarding Certain<br>Conditions Of Release And The<br>Maine Criminal Code Regarding<br>Warrantless Arrests,2021-06-30,130,662bbf4d-8b97-4d9b-be70-07d82e752e3a,67/8,0/62
2538,Democratic,-0.8943833943833943,0.9102564102564102,-0.8943833943833943,1,62,71,7,0.015873015873015872,0.9102564102564102,-0.8943833943833943,"An Act To Decriminalize Engaging In Prostitution, Strengthen The Laws Against Commercial Sexual Exploitation And Allow A Person Convicted Of Engaging In Prostitution To Petition The Court To Expunge The Record Of Conviction","An Act To Decriminalize<br>Engaging In Prostitution,<br>Strengthen The Laws Against<br>Commercial Sexual Exploitation<br>And Allow A Person Convicted<br>Of Engaging In Prostitution To<br>Petition The Court To Expunge<br>The Record Of Conviction",2021-06-30,130,5283eacf-39a2-40c3-b019-daee9c356c1a,71/7,1/62
2696,Democratic,-0.8947368421052632,0.8947368421052632,-0.8947368421052632,0,13,17,2,0.0,0.8947368421052632,-0.8947368421052632,An Act To Improve Educational Opportunities By Exempting Children Who Attend Virtual Public Charter Schools From Immunization Requirements And Expanding Enrollment At Virtual Public Charter Schools,An Act To Improve Educational<br>Opportunities By Exempting<br>Children Who Attend Virtual<br>Public Charter Schools From<br>Immunization Requirements And<br>Expanding Enrollment At<br>Virtual Public Charter Schools,2021-06-03,130,857f5bb3-f2c5-44e7-a52d-e7f107f27876,17/2,0/13
2082,Democratic,-0.8947368421052632,0.8947368421052632,-0.8947368421052632,0,12,17,2,0.0,0.8947368421052632,-0.8947368421052632,An Act To Create A Logging Dispute Resolution Board And To Require Proof Of Ownership Documents To Be Available Within 14 Days Of Request,An Act To Create A Logging<br>Dispute Resolution Board And<br>To Require Proof Of Ownership<br>Documents To Be Available<br>Within 14 Days Of Request,2022-04-12,130,b1399b90-f896-4d39-828b-26f1f72ee322,17/2,0/12
2850,Democratic,-0.8961038961038961,0.8961038961038961,-0.8961038961038961,0,62,69,8,0.0,0.8961038961038961,-0.8961038961038961,An Act To Add A Faculty Member And Nonfaculty Staff Member To The Board Of Trustees Of The University Of Maine System,An Act To Add A Faculty Member<br>And Nonfaculty Staff Member To<br>The Board Of Trustees Of The<br>University Of Maine System,2021-06-30,130,34cacd6d-1b8f-4691-8585-261113d16ca9,69/8,0/62
2974,Democratic,-0.8888888888888888,0.8888888888888888,-0.8888888888888888,0,11,16,2,0.0,0.8888888888888888,-0.8888888888888888,An Act Implementing The Recommendations Of The Task Force On Changes To The Maine Indian Claims Settlement Implementing Act,An Act Implementing The<br>Recommendations Of The Task<br>Force On Changes To The Maine<br>Indian Claims Settlement<br>Implementing Act,2022-04-25,130,b8a42262-f602-4e89-b0c2-1c3b172d0a75,16/2,0/11
2942,Democratic,-0.8863819500402901,0.9452054794520548,-0.8863819500402901,3,48,69,4,0.058823529411764705,0.9452054794520548,-0.8863819500402901,An Act To Require Telecommunications Companies To Divulge Location Information To Law Enforcement When Necessary To Respond To A 9-1-1 Call Or Locate A Person In Danger,An Act To Require<br>Telecommunications Companies<br>To Divulge Location<br>Information To Law Enforcement<br>When Necessary To Respond To A<br>9-1-1 Call Or Locate A Person<br>In Danger,2022-04-11,130,7a1d818d-cb6d-4d7d-aacf-4478b54e8fc7,69/4,3/48
2826,Democratic,-0.8800366300366301,0.9871794871794872,-0.8800366300366301,6,50,77,1,0.10714285714285714,0.9871794871794872,-0.8800366300366301,An Act To Amend The Laws Governing Post-Conviction Review In Order To Facilitate The Fair Hearing Of All Newly Discovered Evidence,An Act To Amend The Laws<br>Governing Post-Conviction<br>Review In Order To Facilitate<br>The Fair Hearing Of All Newly<br>Discovered Evidence,2021-06-17,130,319009f3-228d-4e8e-904f-e071a22c95e3,77/1,6/50
2262,Democratic,-0.868421052631579,0.868421052631579,-0.868421052631579,0,56,66,10,0.0,0.868421052631579,-0.868421052631579,An Act To Require Responsible Contracting Practices For Public Construction Projects,An Act To Require Responsible<br>Contracting Practices For<br>Public Construction Projects,2021-06-17,130,ee94e190-c15a-4752-853c-a248befff290,66/10,0/56
2662,Democratic,-0.8701298701298701,0.8701298701298701,-0.8701298701298701,0,62,67,10,0.0,0.8701298701298701,-0.8701298701298701,An Act To Reduce The Burden On Courts And Promote The Resolution Of Civil Cases,An Act To Reduce The Burden On<br>Courts And Promote The<br>Resolution Of Civil Cases,2021-06-30,130,cf8f3525-bb89-4e9d-a426-fc1d5a6389fb,67/10,0/62
2744,Democratic,-0.8736908253037285,0.922077922077922,-0.8736908253037285,3,59,71,6,0.04838709677419355,0.922077922077922,-0.8736908253037285,An Act To Promote Oversight Of And Competitive Parity Among Video Service Providers,An Act To Promote Oversight Of<br>And Competitive Parity Among<br>Video Service Providers,2021-06-30,130,233ee89c-ffe8-4ddd-88e6-3d445b4651a5,71/6,3/59
2718,Democratic,-0.875,0.975,-0.875,6,54,78,2,0.1,0.975,-0.875,An Act To Allow A Parent Or Guardian Of A Student Who Has Been Affected By Covid-19 To Keep The Student In The Student's Current Grade Level,An Act To Allow A Parent Or<br>Guardian Of A Student Who Has<br>Been Affected By Covid-19 To<br>Keep The Student In The<br>Student's Current Grade Level,2021-04-28,130,6690b95d-92ec-4aa3-9b77-d3298a80145f,78/2,6/54
2370,Democratic,-0.8754578754578755,0.9523809523809523,-0.8754578754578755,1,12,20,1,0.07692307692307693,0.9523809523809523,-0.8754578754578755,Joint Resolution Making Application To The Congress Of The United States Calling An Article V Constitutional Convention To Propose An Amendment To The United States Constitution To Impose Congressional Term Limits,Joint Resolution Making<br>Application To The Congress Of<br>The United States Calling An<br>Article V Constitutional<br>Convention To Propose An<br>Amendment To The United States<br>Constitution To Impose<br>Congressional Term Limits,2021-06-02,130,79ff2b9c-db22-4278-aed1-7de3430c4e68,20/1,1/12
2146,Democratic,-0.8754578754578755,0.9523809523809523,-0.8754578754578755,1,12,20,1,0.07692307692307693,0.9523809523809523,-0.8754578754578755,An Act To Protect Firearm Use And Possession Rights During A State Of Emergency And Require A Two-Thirds Vote By The Legislative Council To Declare Or Extend A State Of Emergency,An Act To Protect Firearm Use<br>And Possession Rights During A<br>State Of Emergency And Require<br>A Two-Thirds Vote By The<br>Legislative Council To Declare<br>Or Extend A State Of Emergency,2021-06-15,130,7139da03-a37f-440e-8914-49fdd2364eb9,20/1,1/12
3056,Democratic,-0.8762075134168157,0.9692307692307692,-0.8762075134168157,4,39,63,2,0.09302325581395349,0.9692307692307692,-0.8762075134168157,An Act To Implement The Recommendations Of The Commission To Increase Housing Opportunities In Maine By Studying Zoning And Land Use Restrictions,An Act To Implement The<br>Recommendations Of The<br>Commission To Increase Housing<br>Opportunities In Maine By<br>Studying Zoning And Land Use<br>Restrictions,2022-04-25,130,557b3996-3791-4db1-bc69-6b6a1be5307d,63/2,4/39
2976,Democratic,-0.8771929824561404,1.0,-0.8771929824561404,7,50,69,0,0.12280701754385964,1.0,-0.8771929824561404,An Act To Reestablish Parole,An Act To Reestablish Parole,2022-01-26,130,25820fa3-b150-4f1b-bf25-f5c06e9289e3,69/0,7/50
2070,Democratic,-0.8983050847457628,1.0,-0.8983050847457628,6,53,80,0,0.1016949152542373,1.0,-0.8983050847457628,An Act To Continue The Green Power Electricity Offer,An Act To Continue The Green<br>Power Electricity Offer,2021-03-11,130,865fb849-65f9-4900-b7ec-bf4d33311a34,80/0,6/53
2474,Democratic,-0.9,0.9,-0.9,0,11,18,2,0.0,0.9,-0.9,An Act To Prohibit The Reception Of Foreign Waste Plastic In Maine Ports,An Act To Prohibit The<br>Reception Of Foreign Waste<br>Plastic In Maine Ports,2021-06-09,130,9bfe4fac-0035-44e5-a504-021db0d52cb0,18/2,0/11
2526,Democratic,-0.9,0.9,-0.9,0,13,18,2,0.0,0.9,-0.9,An Act Regarding The Licensing Of Persons To Conduct Advance Deposit Wagering,An Act Regarding The Licensing<br>Of Persons To Conduct Advance<br>Deposit Wagering,2021-06-17,130,8d9a8188-580b-429c-9562-6aecbecb259a,18/2,0/13
2348,Democratic,-0.9056603773584906,1.0,-0.9056603773584906,5,48,69,0,0.09433962264150944,1.0,-0.9056603773584906,Joint Resolution Commemorating The January 6Th Insurrection,Joint Resolution Commemorating<br>The January 6Th Insurrection,2022-01-05,130,7a98fc9f-40db-45fd-bba1-08f5cdce8c8e,69/0,5/48
2544,Democratic,-0.9056603773584906,1.0,-0.9056603773584906,5,48,69,0,0.09433962264150944,1.0,-0.9056603773584906,An Act To Support Children's Healthy Development And School Success,An Act To Support Children's<br>Healthy Development And School<br>Success,2021-07-01,130,49c3af02-217f-400e-b8e5-e1d9c9628bc5,69/0,5/48
2470,Democratic,-0.9078947368421053,0.9078947368421053,-0.9078947368421053,0,55,69,7,0.0,0.9078947368421053,-0.9078947368421053,An Act To Create The Maine Generation Authority,An Act To Create The Maine<br>Generation Authority,2022-04-12,130,cc261b30-fc8c-484c-ad54-7b425266323a,69/7,0/55
2670,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,13,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Amend The Child Endangerment Laws To Include Certain Unauthorized Access To A Loaded Firearm,An Act To Amend The Child<br>Endangerment Laws To Include<br>Certain Unauthorized Access To<br>A Loaded Firearm,2021-06-16,130,4d4d9d1a-9de2-491a-aacd-a348e3bd727c,20/2,0/13
2750,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,12,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Set A Minimum Wage For School Support Staff,An Act To Set A Minimum Wage<br>For School Support Staff,2021-06-10,130,9cbd923e-bc49-4c2d-9e41-d7b32b6900f1,20/2,0/12
2424,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,11,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Improve Family Day Care Providers By Increasing The Number Of Children Allowed To Be Cared For Without Obtaining Certification,An Act To Improve Family Day<br>Care Providers By Increasing<br>The Number Of Children Allowed<br>To Be Cared For Without<br>Obtaining Certification,2021-06-07,130,db7d9ccf-a5f9-4a8b-8657-3b0600f2c60e,20/2,0/11
2416,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,13,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Require The Acceptance Of Cash For In-Person Retail Transactions,An Act To Require The<br>Acceptance Of Cash For In-<br>Person Retail Transactions,2021-06-08,130,a28f0814-ab99-4fcc-8b2f-afbb5c1fd9f9,20/2,0/13
2406,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,13,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Ensure The Right To Self-Defense Exists Outside The Home By Removing The Requirement To Retreat,An Act To Ensure The Right To<br>Self-Defense Exists Outside<br>The Home By Removing The<br>Requirement To Retreat,2021-06-14,130,b62283a5-3e6a-4c8b-8984-8ca187ef5b46,20/2,0/13
2374,Democratic,-0.9090909090909091,0.9090909090909091,-0.9090909090909091,0,12,20,2,0.0,0.9090909090909091,-0.9090909090909091,An Act To Assist Certain Businesses In The State That Sell Prepared Food Or Alcohol,An Act To Assist Certain<br>Businesses In The State That<br>Sell Prepared Food Or Alcohol,2021-06-07,130,e6bdd51a-9a9d-4d19-8572-1ae8e5606fcc,20/2,0/12
3008,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,54,57,6,0.0,0.9047619047619048,-0.9047619047619048,An Act To Encourage Job Growth In The Forest Products Sector Through Tax Incentives,An Act To Encourage Job Growth<br>In The Forest Products Sector<br>Through Tax Incentives,2022-05-09,130,ffe07708-1c79-4d96-8d6e-6f7d2a0ed67d,57/6,0/54
2228,Democratic,-0.9014084507042254,0.9014084507042254,-0.9014084507042254,0,57,64,7,0.0,0.9014084507042254,-0.9014084507042254,An Act To Protect Farm Workers By Allowing Them To Organize For The Purpose Of Collective Bargaining,An Act To Protect Farm Workers<br>By Allowing Them To Organize<br>For The Purpose Of Collective<br>Bargaining,2022-01-26,130,6ec7852f-7a0e-4b30-9feb-ead6e4be854c,64/7,0/57
2102,Democratic,-0.9027542372881356,0.9875,-0.9027542372881356,5,54,79,1,0.0847457627118644,0.9875,-0.9027542372881356,An Act To Limit The Use Of Hydrofluorocarbons To Fight Climate Change,An Act To Limit The Use Of<br>Hydrofluorocarbons To Fight<br>Climate Change,2021-06-03,130,303e870c-31f7-4a35-929f-5181246222ea,79/1,5/54
2074,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,13,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Keep All Maine Students Safe By Restricting The Use Of Seclusion And Restraint In Schools,An Act To Keep All Maine<br>Students Safe By Restricting<br>The Use Of Seclusion And<br>Restraint In Schools,2021-06-30,130,1a3b7c11-fc8f-4d71-88f2-78af89c148e6,19/2,0/13
2194,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,13,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Amend The Laws Governing Tobacco Specialty Stores,An Act To Amend The Laws<br>Governing Tobacco Specialty<br>Stores,2021-06-02,130,a2e5f6eb-c530-4c3b-ae91-983d96f854dc,19/2,0/13
3054,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,13,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Implement The Recommendations Of The Commission To Create A Plan To Incorporate The Probate Courts Into The Judicial Branch,An Act To Implement The<br>Recommendations Of The<br>Commission To Create A Plan To<br>Incorporate The Probate Courts<br>Into The Judicial Branch,2022-04-18,130,5b906728-2a24-4cd2-bb58-439294cd257b,19/2,0/13
2324,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,13,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Enhance Enforcement Of Employment Laws,An Act To Enhance Enforcement<br>Of Employment Laws,2021-07-19,130,08e2a588-9e13-4ae9-89ac-4d4819efd339,19/2,0/13
2130,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,12,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Allow A Qualifying Religious Organization To Self-Insure For Automobile Insurance,An Act To Allow A Qualifying<br>Religious Organization To<br>Self-Insure For Automobile<br>Insurance,2021-06-10,130,50e9f55f-7264-420d-946b-01bec3d395ed,19/2,0/12
2706,Democratic,-0.9047619047619048,0.9047619047619048,-0.9047619047619048,0,13,19,2,0.0,0.9047619047619048,-0.9047619047619048,An Act To Promote Accountability In Maine's Charter Schools,An Act To Promote<br>Accountability In Maine's<br>Charter Schools,2021-06-02,130,b5aef240-7475-467f-a922-52fc1961fabb,19/2,0/13
2480,Democratic,-0.8672438672438672,0.8831168831168831,-0.8672438672438672,1,62,68,9,0.015873015873015872,0.8831168831168831,-0.8672438672438672,"Resolve, To Develop A Plan To Close The Long Creek Youth Development Center And Redirect Funding To Community Integration Services For Adjudicated Youth","Resolve, To Develop A Plan To<br>Close The Long Creek Youth<br>Development Center And<br>Redirect Funding To Community<br>Integration Services For<br>Adjudicated Youth",2021-06-30,130,802a5558-70fd-41ad-9f81-4617a0fc00ad,68/9,1/62
2126,Democratic,-0.8655926352128883,0.9746835443037974,-0.8655926352128883,6,49,77,2,0.10909090909090909,0.9746835443037974,-0.8655926352128883,An Act To Prohibit Municipalities From Prohibiting Short-Term Rentals,An Act To Prohibit<br>Municipalities From<br>Prohibiting Short-Term Rentals,2021-06-02,130,6d1cdb07-560d-49d1-be7f-03394f72a61c,77/2,6/49
2860,Democratic,-0.75,1.0,-0.75,3,9,19,0,0.25,1.0,-0.75,An Act To Support Child Care Providers And School Readiness Through Tax Credits,An Act To Support Child Care<br>Providers And School Readiness<br>Through Tax Credits,2022-03-31,130,c7052e02-5ea2-4042-a1ba-aa642d22eeb1,19/0,3/9
1980,Democratic,-0.8095238095238095,0.8095238095238095,-0.8095238095238095,0,13,17,4,0.0,0.8095238095238095,-0.8095238095238095,An Act Concerning Climate And Community Investment Projects,An Act Concerning Climate And<br>Community Investment Projects,2021-07-19,130,9f4b6b58-c344-4187-bfb3-6758b0af54da,17/4,0/13
2940,Democratic,-0.8,0.8,-0.8,0,54,44,11,0.0,0.8,-0.8,An Act To Strengthen The Governance Of The Maine Community College System And University Of Maine System,An Act To Strengthen The<br>Governance Of The Maine<br>Community College System And<br>University Of Maine System,2022-05-09,130,e099e52f-531e-42e0-8f2d-cf947fc53839,44/11,0/54
2780,Democratic,-0.8,0.8,-0.8,0,12,16,4,0.0,0.8,-0.8,An Act To Make Changes To The State's Hemp Program,An Act To Make Changes To The<br>State's Hemp Program,2022-05-09,130,8adc3d3b-88db-43d7-8784-d349260a46cd,16/4,0/12
2658,Democratic,-0.8051948051948052,0.8051948051948052,-0.8051948051948052,0,52,62,15,0.0,0.8051948051948052,-0.8051948051948052,An Act To Prohibit Evictions Until 90 Days After The End Of The Governor's Declaration Of Emergency,An Act To Prohibit Evictions<br>Until 90 Days After The End Of<br>The Governor's Declaration Of<br>Emergency,2021-06-10,130,1dbb9377-121f-4a76-8d1c-03cfa9fbd36a,62/15,0/52
2528,Democratic,-0.8084795321637428,0.8611111111111112,-0.8084795321637428,3,54,62,10,0.05263157894736842,0.8611111111111112,-0.8084795321637428,"An Act To Create The Pine Tree Power Company, A Nonprofit Utility, To Deliver Lower Rates, Reliability And Local Control For Maine Energy Independence","An Act To Create The Pine Tree<br>Power Company, A Nonprofit<br>Utility, To Deliver Lower<br>Rates, Reliability And Local<br>Control For Maine Energy<br>Independence",2021-07-19,130,6bc44426-8f21-4cfe-b841-0539772041f7,62/10,3/54
2046,Democratic,-0.810126582278481,0.810126582278481,-0.810126582278481,0,56,64,15,0.0,0.810126582278481,-0.810126582278481,An Act Regarding The University Of Maine System Hiring Practices,An Act Regarding The<br>University Of Maine System<br>Hiring Practices,2021-06-02,130,6858dc61-176b-4c62-ac5e-bdfa035ae920,64/15,0/56
2882,Democratic,-0.8125,0.8125,-0.8125,0,55,65,15,0.0,0.8125,-0.8125,An Act To Amend The Maine Exclusion Amount In The Estate Tax,An Act To Amend The Maine<br>Exclusion Amount In The Estate<br>Tax,2021-06-15,130,d143716d-8693-476c-8799-8c629d64d8e9,65/15,0/55
2896,Democratic,-0.8125,0.8125,-0.8125,0,62,65,15,0.0,0.8125,-0.8125,An Act To Promote Civic Engagement And Voter Participation For Young People By Lowering The Voting Age For Municipal Elections To 16 Years Of Age,An Act To Promote Civic<br>Engagement And Voter<br>Participation For Young People<br>By Lowering The Voting Age For<br>Municipal Elections To 16<br>Years Of Age,2021-06-02,130,6169a472-167e-4a92-9953-9f43c4f9c697,65/15,0/62
2708,Democratic,-0.8144283121597096,0.9868421052631579,-0.8144283121597096,10,48,75,1,0.1724137931034483,0.9868421052631579,-0.8144283121597096,"Resolve, Regarding Legislative Review Of Portions Of Chapter 570:  Uniform Reporting System For Prescription Drug Price Data Sets, A Major Substantive Rule Of The Maine Health Data Organization","Resolve, Regarding Legislative<br>Review Of Portions Of Chapter<br>570:  Uniform Reporting System<br>For Prescription Drug Price<br>Data Sets, A Major Substantive<br>Rule Of The Maine Health Data<br>Organization",2021-06-14,130,46daccae-305d-44a7-b61c-c662c0e89dff,75/1,10/48
2648,Democratic,-0.7985347985347985,0.9523809523809523,-0.7985347985347985,2,11,20,1,0.15384615384615385,0.9523809523809523,-0.7985347985347985,An Act To Authorize The Use Of Tax Increment Financing Funds For Constructing Or Renovating Municipal Offices And Other Buildings,An Act To Authorize The Use Of<br>Tax Increment Financing Funds<br>For Constructing Or Renovating<br>Municipal Offices And Other<br>Buildings,2021-04-28,130,18206424-07b4-425b-9245-a63fb0dd0e21,20/1,2/11
2182,Democratic,-0.7931034482758621,1.0,-0.7931034482758621,12,46,75,0,0.20689655172413793,1.0,-0.7931034482758621,"Resolve, To Improve Air Quality And Ventilation In Maine's Public Schools","Resolve, To Improve Air<br>Quality And Ventilation In<br>Maine's Public Schools",2021-06-08,130,7ecf9b99-8fa5-4d06-b1b2-c5ab5a32bd9b,75/0,12/46
2346,Democratic,-0.759493670886076,0.759493670886076,-0.759493670886076,0,55,60,19,0.0,0.759493670886076,-0.759493670886076,An Act To Define Commercial And Noncommercial Purveyors Of Accommodations For Short-Term Rental,An Act To Define Commercial<br>And Noncommercial Purveyors Of<br>Accommodations For Short-Term<br>Rental,2021-06-02,130,f5c42971-da44-48e3-b253-6128847cf0e0,60/19,0/55
2164,Democratic,-0.7623485554520038,0.9864864864864865,-0.7623485554520038,13,45,73,1,0.22413793103448276,0.9864864864864865,-0.7623485554520038,An Act To Prohibit A Public Utility From Terminating Or Disconnecting Service To A Public Safety Facility Without Advance Notice And Approval,An Act To Prohibit A Public<br>Utility From Terminating Or<br>Disconnecting Service To A<br>Public Safety Facility Without<br>Advance Notice And Approval,2022-03-29,130,551e6b6d-9c53-42f5-b58f-8e70632a378d,73/1,13/45
2282,Democratic,-0.7692307692307692,1.0,-0.7692307692307692,3,10,22,0,0.23076923076923078,1.0,-0.7692307692307692,An Act To Repeal Maine's Single-Use Plastic Bag Law,An Act To Repeal Maine's<br>Single-Use Plastic Bag Law,2021-04-28,130,edff371b-7294-49d1-ad82-5ea2fc2c9252,22/0,3/10
2842,Democratic,-0.7692307692307692,1.0,-0.7692307692307692,3,10,21,0,0.23076923076923078,1.0,-0.7692307692307692,An Act To Provide Equity In The State Income Tax Deduction For Certain Public Employees Retirement System Pensions,An Act To Provide Equity In<br>The State Income Tax Deduction<br>For Certain Public Employees<br>Retirement System Pensions,2021-06-03,130,36acb3f0-edea-4682-a0c0-13203f60c3fb,21/0,3/10
2208,Democratic,-0.7727272727272727,0.7727272727272727,-0.7727272727272727,0,13,17,5,0.0,0.7727272727272727,-0.7727272727272727,An Act To Ban The Surveillance Of Firearm Purchases,An Act To Ban The Surveillance<br>Of Firearm Purchases,2021-06-14,130,4d50f92e-9603-4646-a57d-48a33da20121,17/5,0/13
2584,Democratic,-0.7802197802197801,0.8571428571428571,-0.7802197802197801,1,12,18,3,0.07692307692307693,0.8571428571428571,-0.7802197802197801,An Act To Establish The Maine Buy American And Build Maine Act,An Act To Establish The Maine<br>Buy American And Build Maine<br>Act,2021-07-19,130,c4440ecb-2f40-48b5-be98-a796cefd6a2a,18/3,1/12
2336,Democratic,-0.7834538878842676,0.9620253164556962,-0.7834538878842676,10,46,76,3,0.17857142857142858,0.9620253164556962,-0.7834538878842676,An Act To Restructure The Taxation Of Adult Use Marijuana,An Act To Restructure The<br>Taxation Of Adult Use<br>Marijuana,2021-06-02,130,4a1a8791-3b97-4776-a780-e20d0ad0f82a,76/3,10/46
2932,Democratic,-0.7867132867132867,0.8636363636363636,-0.7867132867132867,1,12,19,3,0.07692307692307693,0.8636363636363636,-0.7867132867132867,An Act To Prevent And Reduce Tobacco Use By Ensuring Adequate Funding For Tobacco Use Prevention And Cessation Programs And By Raising The Tax On Tobacco Products And To Provide Funding To Reduce Disparities In Health Outcomes Based On Certain Factors,An Act To Prevent And Reduce<br>Tobacco Use By Ensuring<br>Adequate Funding For Tobacco<br>Use Prevention And Cessation<br>Programs And By Raising The<br>Tax On Tobacco Products And To<br>Provide Funding To Reduce<br>Disparities In Health Outcomes<br>Based On Certain Factors,2021-06-16,130,fd5596c0-49ad-4ece-bbb6-489c4de0c760,19/3,1/12
2090,Democratic,-0.8147656940760389,0.9871794871794872,-0.8147656940760389,10,48,77,1,0.1724137931034483,0.9871794871794872,-0.8147656940760389,An Act To Improve Accountability In Asset Seizure And Forfeiture Reporting,An Act To Improve<br>Accountability In Asset<br>Seizure And Forfeiture<br>Reporting,2021-06-16,130,1a019b37-1669-4e1c-bfb8-937ec2997d2d,77/1,10/48
2294,Democratic,-0.8198154443904808,0.9577464788732394,-0.8198154443904808,8,50,68,3,0.13793103448275862,0.9577464788732394,-0.8198154443904808,An Act To Create Gaming Equity And Fairness For The Native American Tribes In Maine,An Act To Create Gaming Equity<br>And Fairness For The Native<br>American Tribes In Maine,2021-07-01,130,d846bfca-6391-4180-817b-f96a1b2e7125,68/3,8/50
2234,Democratic,-0.8461538461538461,1.0,-0.8461538461538461,2,11,22,0,0.15384615384615385,1.0,-0.8461538461538461,An Act To Improve Public Safety By Repealing The Single-Use Plastic Carry-Out Bag Ban,An Act To Improve Public<br>Safety By Repealing The<br>Single-Use Plastic Carry-Out<br>Bag Ban,2021-04-28,130,d49df4bc-1e71-400b-94a2-2d7648ff8aed,22/0,2/11
2716,Democratic,-0.85,0.85,-0.85,0,54,51,9,0.0,0.85,-0.85,An Act To Examine And Amend The Conditions Of Release And Probation,An Act To Examine And Amend<br>The Conditions Of Release And<br>Probation,2022-05-09,130,cdd2320f-fb8e-4bcc-8c38-e178c8e4858c,51/9,0/54
2540,Democratic,-0.8533333333333334,0.8533333333333334,-0.8533333333333334,0,63,64,11,0.0,0.8533333333333334,-0.8533333333333334,An Act To Protect Maine's Drivers From Pretextual Traffic Stops,An Act To Protect Maine's<br>Drivers From Pretextual<br>Traffic Stops,2021-06-30,130,7db458c5-f2d7-488a-9fd4-3a97e8ff226c,64/11,0/63
2634,Democratic,-0.8571428571428571,0.8571428571428571,-0.8571428571428571,0,12,18,3,0.0,0.8571428571428571,-0.8571428571428571,An Act To Require The State To Divest Itself Of Assets Invested In The Fossil Fuel Industry,An Act To Require The State To<br>Divest Itself Of Assets<br>Invested In The Fossil Fuel<br>Industry,2021-06-10,130,1a23aabc-f74c-46ad-adb6-9ea046f366ab,18/3,0/12
1974,Democratic,-0.8596491228070176,1.0,-0.8596491228070176,8,49,68,0,0.14035087719298245,1.0,-0.8596491228070176,Joint Resolution Recognizing Clean Energy's Importance To Maine's Infrastructure And Economic Future,Joint Resolution Recognizing<br>Clean Energy's Importance To<br>Maine's Infrastructure And<br>Economic Future,2021-07-19,130,c80bf0eb-3c5b-4fa7-a98d-ecfbe4f57278,68/0,8/49
2140,Democratic,-0.8636363636363636,0.8636363636363636,-0.8636363636363636,0,13,19,3,0.0,0.8636363636363636,-0.8636363636363636,An Act To Provide For Fairness In Property Taxation By Assessing A One-Time Tax On Financial Assets,An Act To Provide For Fairness<br>In Property Taxation By<br>Assessing A One-Time Tax On<br>Financial Assets,2021-06-16,130,706e79e3-8d0a-4389-8a13-236cfdce3c42,19/3,0/13
